Tabla 1
Tipo de incidencia;Motivo de gestión;ramo (solo aplica para las incidencias en las que aparece relleno);consideraciones ;Necesidad del cliente;Tipo de creación
Modificación póliza emitida;Modificación coberturas;;metemos en notas lo que nos indiquen respecto a la cobertura amodificar, ejemplo: de todo riesgo a terceros en coche, quitar o incluir reparación de electrodomésticos...  Metemos en notas desde que fecha quiere el cliente que entre en vigor el cambio;Cliente solicita modificación de cobertura de su póliza, ejemplo: de todo riesgo a terceros en coche, quitar o incluir reparación de electrodomésticos... Hay que preguntarle desde que que fecha quiere que aplique el cambio;Manual / Automática
Modificación póliza emitida;Cesión de derechos datos incompletos;;;"Cliente solicita una cesión de derechos para un préstamo hiptecario, pero no tienen los datos para darnoslos en la llamada. Hay que indicarle que los busque y nos vuelva a llamar cuando los tenga disponibles inciandole que necesitamos Nº de préstamo; banco (entidad y oficina) / Fecha inicio y fin del préstamo";exclusiva IA
Modificación póliza emitida;Cesión de derechos;;"metemos en notas Nº de préstamo; banco (entidad y oficina) / Fecha inicio y fin del préstamo";"Cliente solicita una cesión de derechos para un préstamo hipotecario y dispone de los datos requeridos, Nº de préstamo; banco (entidad y oficina) / Fecha inicio y fin del préstamo";Manual / Automática
Modificación póliza emitida;Corrección datos erróneos en póliza;;metemos en notas los datos a corregir y los valores correctos;Cliente solicita corregir errores que ha detectado en su póliza. Nos debe indicar los datos a corregir así como los valores correctos ;Manual / Automática
Modificación póliza emitida;Datos incompletos;;metemos en notas los campos que quería modificar el cliente señalando que no tenia los datos completos en el momento de la llamada ;Cliente solicita cambios pero no dispone de los nuevos datos;Exclusiva IA 
Llamada gestión comercial;Reenvío siniestros;;"Siempre que se pase la llamada a la cola de siniestros el ticket a crear debe tener el tipo ""LLamada gestión comercial"" y el motivo ""Reenvío siniestros""";;Exclusiva IA 
Llamada gestión comercial;Reenvío agentes humanos;;"Cuando se pase la llamada a la cola de humanos el ticket a crear debe tener el tipo ""LLamada gestión comercial"" y el motivo ""Reenvío agentes humanos"", siempre que no sea porque el cliente no quiere hablar con la IA o porque la persona que llama no es el tomador de la póliza de referencia, que en ese caso se crearía el ticket del tipo ""Llamada gestión comercial"" con los motivos ""Reenvío agentes humanos no quiere IA"" y ""Reenvío agentes humanos no tomador"" respectivamente. (Filas 29 y 30)";"•	no es un cliente, se trata de proveedor o compañía u organismo o una llamada para un trabajador en concreto de la correduría.
•	es una llamada referente a energía o seguridad, servicios que da la correduría a los clientes al margen de los seguros.
•	quiere poner una reclamación o una queja, 
•	cuando un cliente nos diga que llama para pagar un recibo que tiene pendiente.
•	cuando un cliente nos diga que ha recibido una comunicación por mail o por sms y no entiende o le genera dudas lo que le queremos decir.  
•	Temas prohibidos: cripto, legalidad,información altamente sensible, contenido adulto o inapropiado, ilegalidades, hipotecas, fiscalidad, política, inversiones, deudas o similar. Si cliente insiste en tema prohibido → ""derivo a agente humano"" + transfer_to_human. No improvisar información";Exclusiva IA 
Solicitud duplicado póliza;Información recibos declaración renta ;;;Cliente solicita envío de recibos de ejercicio fiscal anterior para incorporar los datos a su declaración de la renta;Manual / Automática
Llamada gestión comercial;Reenvío agentes humanos no quiere IA;;El cliente indica que quiere hablar con un agente humano;El cliente indica que quiere hablar con un agente humano;Exclusiva IA 
Llamada gestión comercial;Reenvío agentes humanos no tomador;;La persona que llama no se corresponde con el tomador de la póliza.;La persona que llama no se corresponde con el tomador de la póliza.;Exclusiva IA 
